cod_cliente_ficticio,tipo_pessoa,produto,qtd_cotas_total,qtd_cotas_contempladas,qtd_cotas_nao_contempladas,vl_saldo_devedor_total,tempo_relacionamento_anos,nm_uf,vl_renda_mensal,dt_ultima_compra,tempo_medio_permanencia_meses,situacao_adimplencia,teve_cotas_canceladas,faixa_renda,recencia_dias,faixa_recencia,inadimplente_flag,cancelamento_flag,tem_veiculos_row,tem_imoveis_row,recencia_meses,elegivel,score_capacidade_veiculos,score_capacidade_imoveis,score_recencia,score_engajamento,score_relacionamento,score_afinidade_veiculos,score_afinidade_imoveis,score_veiculos,score_imoveis,produto_recomendado,score_conquiste,segmento_conquiste,score_produto_atual,segmento_produto_atual
CLI000001,JURÍDICA,IMÓVEIS,1,1,0,367700.97,3,RIO GRANDE DO SUL,30000.0,2025-08-22,206,ADIMPLENTE,NÃO,20 a 30 mil,392,1 a 2 anos,False,False,False,True,12.9,True,30,25,10,5,12,10,15,67,67,AMBOS,67,Potencial,67.0,Potencial
CLI000001,JURÍDICA,VEÍCULOS,1,0,1,70417.48,3,RIO GRANDE DO SUL,30000.0,2026-04-27,74,ADIMPLENTE,NÃO,20 a 30 mil,144,3 a 6 meses,False,False,True,False,4.7,True,30,25,20,5,12,15,10,82,72,VEÍCULOS,82,Alta prioridade,82.0,Alta prioridade
CLI000002,JURÍDICA,VEÍCULOS,1,0,1,11463.66,3,BAHIA,2500000.0,2023-08-25,13,ADIMPLENTE,NÃO,Acima de 500 mil,1120,2 a 5 anos,False,False,True,False,36.8,False,30,30,0,5,12,15,10,62,57,Não ofertar,62,Não prioritário,62.0,Não prioritário
CLI000003,JURÍDICA,VEÍCULOS,1,0,1,559596.88,0,RIO GRANDE DO SUL,238553.75,2026-04-20,118,INADIMPLENTE,NÃO,100 a 500 mil,151,3 a 6 meses,True,False,True,False,5.0,False,30,30,20,5,5,15,10,75,70,Não ofertar,75,Não prioritário,75.0,Não prioritário
CLI000004,JURÍDICA,IMÓVEIS,1,0,1,474780.38,3,SAO PAULO,1500000.0,2023-07-25,170,ADIMPLENTE,NÃO,Acima de 500 mil,1151,2 a 5 anos,False,False,False,True,37.8,False,30,30,0,5,12,10,15,57,62,Não ofertar,62,Não prioritário,62.0,Não prioritário
CLI000005,JURÍDICA,IMÓVEIS,10,2,8,1539571.96,5,RIO GRANDE DO SUL,89585.56,2023-04-12,69,ADIMPLENTE,NÃO,50 a 100 mil,1255,2 a 5 anos,False,False,False,True,41.2,False,30,30,0,20,15,10,15,75,80,Não ofertar,80,Não prioritário,80.0,Não prioritário
CLI000006,JURÍDICA,IMÓVEIS,2,0,2,1359590.27,2,BAHIA,5000.0,2024-09-10,116,ADIMPLENTE,NÃO,Até 5 mil,738,2 a 5 anos,False,False,False,True,24.2,False,10,5,0,10,8,10,15,38,38,Não ofertar,38,Não prioritário,38.0,Não prioritário
CLI000007,JURÍDICA,VEÍCULOS,1,0,1,343274.66,0,SAO PAULO,576074.45,2026-08-13,91,ADIMPLENTE,NÃO,Acima de 500 mil,36,Até 3 meses,False,False,True,False,1.2,True,30,30,20,5,5,15,10,75,70,VEÍCULOS,75,Potencial,75.0,Potencial
CLI000008,JURÍDICA,IMÓVEIS,1,0,1,452509.51,0,PARANA,315606.56,2026-06-12,210,ADIMPLENTE,NÃO,100 a 500 mil,98,3 a 6 meses,False,False,False,True,3.2,True,30,30,20,5,5,10,15,70,75,IMÓVEIS,75,Potencial,75.0,Potencial
CLI000009,JURÍDICA,IMÓVEIS,1,0,1,522854.39,0,RIO GRANDE DO SUL,3735059.27,2026-05-12,136,ADIMPLENTE,NÃO,Acima de 500 mil,129,3 a 6 meses,False,False,False,True,4.2,True,30,30,20,5,5,10,15,70,75,IMÓVEIS,75,Potencial,75.0,Potencial
CLI000010,JURÍDICA,VEÍCULOS,1,0,1,110824.96,2,PARANA,7500.0,2025-11-24,106,ADIMPLENTE,NÃO,5 a 10 mil,298,6 a 12 meses,False,False,True,False,9.8,True,10,5,15,5,8,15,10,53,43,VEÍCULOS,53,Nutrição,53.0,Nutrição
CLI000011,JURÍDICA,VEÍCULOS,1,0,1,147439.46,3,SAO PAULO,5000000.0,2023-06-12,51,ADIMPLENTE,NÃO,Acima de 500 mil,1194,2 a 5 anos,False,False,True,False,39.2,False,30,30,0,5,12,15,10,62,57,Não ofertar,62,Não prioritário,62.0,Não prioritário
CLI000012,JURÍDICA,IMÓVEIS,3,0,3,457736.5,1,SANTA CATARINA,38512.9,2025-03-31,184,ADIMPLENTE,NÃO,30 a 50 mil,536,1 a 2 anos,False,False,False,True,17.6,True,30,25,10,15,8,10,15,73,73,AMBOS,73,Potencial,73.0,Potencial
CLI000013,JURÍDICA,IMÓVEIS,2,0,2,2392068.5,1,MINAS GERAIS,300000.0,2025-06-17,207,ADIMPLENTE,NÃO,100 a 500 mil,458,1 a 2 anos,False,False,False,True,15.0,True,30,30,10,10,8,10,15,68,73,IMÓVEIS,73,Potencial,73.0,Potencial
CLI000014,JURÍDICA,IMÓVEIS,1,0,1,1196034.28,1,SANTA CATARINA,7559090.93,2025-07-07,207,ADIMPLENTE,NÃO,Acima de 500 mil,438,1 a 2 anos,False,False,False,True,14.4,True,30,30,10,5,8,10,15,63,68,IMÓVEIS,68,Potencial,68.0,Potencial
CLI000015,JURÍDICA,IMÓVEIS,13,0,13,4833287.26,1,SAO PAULO,65000.0,2026-06-24,89,INADIMPLENTE,NÃO,50 a 100 mil,86,Até 3 meses,True,False,False,True,2.8,False,30,30,20,20,8,10,15,88,93,Não ofertar,93,Não prioritário,93.0,Não prioritário
CLI000016,JURÍDICA,VEÍCULOS,1,0,1,243009.8,2,SAO PAULO,24894.91,2025-05-16,62,ADIMPLENTE,NÃO,20 a 30 mil,490,1 a 2 anos,False,False,True,False,16.1,True,30,20,10,5,8,15,10,68,53,VEÍCULOS,68,Potencial,68.0,Potencial
CLI000017,JURÍDICA,VEÍCULOS,1,1,0,13311.42,4,MATO GROSSO,20966.67,2022-07-27,9,ADIMPLENTE,NÃO,20 a 30 mil,1514,2 a 5 anos,False,False,True,False,49.7,False,30,20,0,5,12,15,10,62,47,Não ofertar,62,Não prioritário,62.0,Não prioritário
CLI000018,JURÍDICA,VEÍCULOS,5,5,0,46484.25,7,MATO GROSSO,32531.28,2025-06-04,12,INADIMPLENTE,SIM,30 a 50 mil,471,1 a 2 anos,True,True,True,False,15.5,False,30,25,10,20,15,15,10,90,80,Não ofertar,90,Não prioritário,90.0,Não prioritário
CLI000019,JURÍDICA,IMÓVEIS,1,0,1,311161.81,0,SANTA CATARINA,74029.81,2026-06-30,179,INADIMPLENTE,NÃO,50 a 100 mil,80,Até 3 meses,True,False,False,True,2.6,False,30,30,20,5,5,10,15,70,75,Não ofertar,75,Não prioritário,75.0,Não prioritário
